id,x,y
17,95,185
18,124,160
18,130,169
18,137,173
18,142,174
18,147,176
18,151,176
18,156,176
18,163,169
18,166,168
18,169,166
18,170,159
18,166,154
18,159,147
18,152,142
18,145,140
18,138,141
18,132,142
18,126,147
18,124,150
18,124,153
19,108,134
19,118,129
19,124,121
19,129,117
19,133,112
19,133,104
19,129,100
19,121,99
19,114,99
19,106,103
19,100,106
19,97,115
19,95,123
19,95,130
19,101,134
20,95,83
20,103,88
20,112,89
20,119,83
20,125,74
20,129,68
20,134,65
20,141,61
20,148,56
20,154,53
20,151,50
20,143,52
20,137,53
20,124,57
20,115,60
20,105,64
20,97,73
20,97,77
21,109,50
21,112,46
21,119,45
21,127,46
21,132,41
21,134,34
21,129,26
21,121,21
21,116,19
21,108,18
21,100,22
21,95,26
21,88,32
21,88,40
21,93,45
21,100,48
22,141,9
22,144,18
22,147,31
22,152,34
22,159,34
22,166,31
22,172,27
22,179,22
22,181,15
22,181,7
22,178,2
22,141,1
23,158,51
23,165,51
23,170,53
23,175,55
23,176,61
23,178,67
23,178,73
23,173,78
23,167,83
23,162,86
23,155,87
23,150,85
23,145,78
23,142,72
23,139,67
23,136,66
23,145,59
23,149,58
23,154,55
24,178,92
24,171,104
24,169,111
24,166,120
24,171,128
24,178,130
24,183,129
24,188,126
24,191,121
24,191,112
24,189,103
24,186,97
24,184,95
25,200,100
25,197,107
25,191,119
25,194,138
25,198,144
25,200,153
25,205,162
25,209,163
25,210,155
25,208,146
25,210,139
25,215,132
25,217,125
25,217,118
25,215,107
25,215,101
25,211,98
25,208,97
26,146,257
26,151,264
26,159,268
26,171,269
26,177,269
26,187,271
26,198,279
26,202,284
26,207,290
26,213,293
26,219,291
26,219,294
26,215,296
26,204,299
26,193,301
26,184,301
26,176,297
26,167,292
26,160,290
26,155,288
26,151,281
26,149,271
26,146,267
26,142,262
26,139,258
27,159,311
27,166,308
27,171,313
27,179,320
27,185,324
27,193,325
27,195,328
27,193,332
27,186,333
27,177,336
27,173,338
27,171,342
27,167,345
27,159,344
27,152,339
27,146,333
27,139,328
27,132,326
27,129,322
27,134,318
27,140,316
27,147,313
27,151,308
28,166,395
28,174,401
28,184,403
28,192,403
28,198,399
28,205,396
28,213,396
28,220,396
28,217,405
28,211,414
28,205,423
28,200,428
28,193,432
28,183,433
28,173,431
28,166,427
28,159,422
28,151,421
28,143,421
28,139,422
28,134,422
28,136,418
28,138,412
28,140,408
28,147,405
28,152,401
28,154,401
28,157,398
29,157,439
29,168,440
29,176,439
29,183,438
29,188,440
