Time(s),Mean_of_cell0,Mean_of_cell1,Mean_of_cell2,Mean_of_cell3,Mean_of_cell4,Mean_of_cell5,Mean_of_cell6,Mean_of_cell7,Mean_of_cell8,Mean_of_cell9,Mean_of_cell10,Mean_of_cell11,Mean_of_cell12,Mean_of_cell13,Mean_of_cell14,Mean_of_cell15,Mean_of_cell16,Mean_of_cell17,Mean_of_cell18,Mean_of_cell19,Mean_of_cell20,Mean_of_cell21,Mean_of_cell22,Mean_of_cell23,Mean_of_cell24,Mean_of_cell25,Mean_of_cell26,Mean_of_cell27,Mean_of_cell28,Mean_of_cell29,Mean_of_cell30,Mean_of_cell31,Mean_of_cell32,Mean_of_cell33,Mean_of_cell34,Mean_of_cell35,Mean_of_cell36,Mean_of_cell37,Mean_of_cell38,Mean_of_cell39,Mean_of_cell40,Mean_of_cell41,Mean_of_cell42,Mean_of_cell43,Mean_of_cell44,Mean_of_cell45,Mean_of_cell46,Mean_of_cell47,Mean_of_cell48,Mean_of_cell49,Mean_of_cell50,Mean_of_cell51,Mean_of_cell52,Mean_of_cell53,Mean_of_cell54,Mean_of_cell55,Mean_of_cell56,Mean_of_cell57,Mean_of_cell58,Mean_of_cell59,Mean_of_cell60,Mean_of_cell61,Mean_of_cell62,Mean_of_cell63,Mean_of_cell64,Mean_of_cell65,Mean_of_cell66,Mean_of_cell67,Mean_of_cell68,Mean_of_cell69,Mean_of_cell70,Mean_of_cell71,Mean_of_cell72,Mean_of_cell73,Mean_of_cell74,Mean_of_cell75,Mean_of_cell76,Mean_of_cell77,Mean_of_cell78
144,1.1619,1.8243,3.5118,1.7903,1.6421,2.2493,1.6163,1.4833,1.3922,2.3855,1.6582,1.4014,2.0669,2.5572,2.2189,1.1334,1.4323,1.6812,1.3547,1.2854,1.1107,2.1655,0.7939,1.6553,1.1193,1.127,1.3645,1.5816,0.8051,1.207,1.2931,1.1466,0.6858,0.9378,0.9188,1.0163,1.7646,0.9197,1.366,1.3066,0.7651,0.4736,0.9224,0.8241,0.8599,0.7908,1.1458,1.3686,0.2232,1.6131,0.8676,0.228,0.4997,0.8765,0.9139,0.9467,1.4476,0.8198,1.5719,1.6923,0.6877,0.9369,1.5302,0.8867,0.2691,1.2672,1.1684,1.2565,0.5457,0.8021,1.1733,1.5252,0.7383,0.6313,0.7298,0.9965,1.9778,2.2266,1.4846
146,1.1581,1.7965,3.3437,1.7906,1.6587,2.0957,1.5783,1.5038,1.4002,2.4136,1.7077,1.3682,2.1515,2.5593,2.2752,1.0969,1.3386,1.466,1.3259,1.249,1.0118,2.063,0.8078,1.5868,1.169,1.07,1.425,1.4923,0.8197,1.3023,1.3028,1.1673,0.6499,0.9264,0.9001,0.9936,1.7802,0.827,1.3901,1.332,0.7814,0.4511,0.8884,1.0048,0.8727,0.9647,1.2076,1.349,0.2208,1.5969,0.905,0.2065,0.5238,0.8317,0.9538,0.9511,1.4117,0.8674,1.5766,1.6753,0.6559,0.9654,1.6133,0.8834,0.2734,1.2229,1.1826,1.2543,0.5315,0.8029,1.2342,1.5824,0.7541,0.6374,0.7867,1.0475,2.0472,2.1057,1.5808
148,1.156,1.8124,3.3797,1.7595,1.7117,2.3048,1.5227,1.5208,1.2881,2.1702,1.6644,1.2407,2.0887,2.8879,2.3111,1.0907,1.3578,1.2125,1.328,1.3252,0.9527,2.122,0.7596,1.5462,1.244,1.0182,1.4629,1.481,0.8373,1.4189,1.3496,1.2528,0.6276,0.8822,0.9059,0.9433,1.7175,0.8086,1.3617,1.4259,0.8065,0.3933,0.915,1.0863,0.8898,1.0199,1.155,1.3025,0.2272,1.5715,0.8738,0.1747,0.5805,0.8113,0.898,0.9635,1.4175,0.8667,1.6076,1.6193,0.6707,0.9696,1.5771,0.8683,0.2953,1.2096,1.2009,1.3174,0.5451,0.8327,1.2036,1.6058,0.74,0.6409,0.8357,1.0998,2.4588,1.9635,1.7107
150,1.158,1.8468,3.4964,1.7134,1.7275,2.2275,1.4902,1.52,1.3421,2.3877,1.7078,1.238,1.9819,2.7413,2.4124,1.1178,1.3799,1.0846,1.2902,1.2527,0.9044,2.0574,0.7586,1.5171,1.2574,0.997,1.4275,1.4878,0.8555,1.5325,1.4924,1.3688,0.6822,0.9205,0.9011,0.9198,1.7871,0.7905,1.3667,1.4451,0.896,0.3974,0.8864,1.0659,0.8876,0.9507,1.1419,1.2642,0.2287,1.5656,0.8496,0.1762,0.6773,0.8132,0.8018,1.0319,1.3815,0.8617,1.6632,1.588,0.7221,0.9924,1.5839,0.8928,0.3204,1.2011,1.2099,1.3476,0.5361,0.8007,1.2605,1.6018,0.7371,0.6504,0.9274,1.0446,2.278,1.7794,1.528
152,1.1585,1.8897,3.5375,1.7799,1.7487,2.0074,1.4825,1.5463,1.3186,2.5097,1.7394,1.3005,1.9913,2.7166,2.3495,1.0848,1.3048,0.9404,1.2787,1.2726,0.8962,2.0989,0.7501,1.5265,1.3028,0.9628,1.4465,1.5249,0.8249,1.4894,1.5255,1.3736,0.7004,0.8767,0.9211,0.8972,1.7655,0.7913,1.4162,1.5382,0.9224,0.3994,0.8442,1.066,0.8792,0.8902,1.0953,1.3092,0.227,1.505,0.861,0.1765,0.8388,0.8348,0.6818,1.0198,1.3725,0.8748,1.6651,1.5223,0.7047,1.041,1.5768,0.954,0.3324,1.2048,1.1895,1.3586,0.5642,0.7432,1.2308,1.6763,0.7083,0.6448,0.9652,1.1004,2.417,1.7848,1.7508
154,1.1578,1.7885,3.4339,1.7205,1.7808,2.0929,1.5475,1.4437,1.3277,2.5354,1.8463,1.3243,1.8285,2.8235,2.45,1.1049,1.2791,0.824,1.2514,1.2871,0.8453,1.9886,0.7428,1.4596,1.2908,0.9447,1.4055,1.4035,0.8401,1.6133,1.6776,1.4316,0.7303,0.8867,0.9377,0.8903,1.7912,0.8166,1.4277,1.5891,1.0077,0.3995,0.8496,0.9659,0.9605,0.8441,1.1032,1.3611,0.2278,1.4793,0.896,0.1746,0.893,0.8176,0.5433,1.0423,1.3617,0.9619,1.7192,1.5556,0.7357,1.0165,1.5172,0.9378,0.3514,1.2213,1.1902,1.3436,0.5759,0.7717,1.245,1.6482,0.7316,0.6707,0.8805,1.0582,2.2691,1.5729,1.8015
156,1.1518,1.7708,3.3094,1.7961,1.9155,1.9102,1.568,1.4797,1.379,2.523,1.8212,1.28,1.708,2.6585,2.4289,1.081,1.2938,0.7284,1.2363,1.2626,0.8297,1.9549,0.7579,1.4487,1.3478,0.9245,1.4656,1.3795,0.8083,1.5025,1.7941,1.5294,0.7763,0.8796,0.9119,0.9383,1.7605,0.8484,1.3671,1.5151,1.1398,0.4406,0.8406,0.9198,0.9425,0.7867,1.0937,1.3274,0.2273,1.4762,0.9195,0.1623,0.9225,0.8208,0.4683,1.056,1.3489,0.9338,1.7085,1.528,0.7298,1.005,1.4485,0.977,0.4266,1.2185,1.1478,1.3398,0.5952,0.7801,1.2307,1.6509,0.752,0.684,0.7938,0.9996,2.1109,1.5373,1.7201
158,1.1596,1.755,3.5233,1.7519,1.9765,1.8838,1.6967,1.4392,1.3853,2.5861,1.8262,1.3185,1.6003,2.979,2.3651,1.067,1.3589,0.7047,1.2185,1.2832,0.8207,1.9247,0.7586,1.4559,1.3432,0.8926,1.3885,1.3495,0.8242,1.4137,1.859,1.5473,0.8487,0.8802,0.9206,0.9166,1.7169,0.9113,1.371,1.629,1.2654,0.4592,0.7948,0.8761,0.9511,0.7545,1.1083,1.2366,0.2512,1.5333,0.955,0.157,0.8897,0.813,0.4327,1.0439,1.2801,0.9603,1.7638,1.5428,0.7881,1.0693,1.4455,1.0143,0.4977,1.2573,1.1676,1.3743,0.6051,0.7933,1.2288,1.5242,0.7452,0.7027,0.7271,1.0002,2.0287,1.5903,1.8916
160,1.1575,1.8547,3.6689,1.7806,1.9368,1.9105,1.6611,1.4102,1.36,2.4595,1.7781,1.3517,1.5346,2.8295,2.4351,1.103,1.3359,0.6259,1.2239,1.3277,0.8042,1.9213,0.715,1.471,1.2989,0.8875,1.4109,1.3249,0.8679,1.35,1.828,1.5979,0.8801,0.8324,0.9146,0.9647,1.678,0.9134,1.3791,1.7722,1.4223,0.4331,0.8537,0.7402,0.9804,0.693,1.1314,1.2902,0.2614,1.5087,0.9311,0.1505,0.7347,0.8303,0.4054,1.0189,1.3302,0.9337,1.7625,1.5449,0.8101,1.0853,1.4353,1.0738,0.6933,1.2537,1.1379,1.3877,0.6009,0.8208,1.1785,1.5658,0.7578,0.6955,0.711,0.9008,1.8728,1.482,1.9371
162,1.1591,1.8148,3.8141,1.7957,1.9188,1.8666,1.6611,1.3683,1.3724,2.4826,1.8173,1.3403,1.4704,2.7381,2.4871,1.0888,1.3726,0.6118,1.1774,1.3159,0.8268,1.9755,0.7607,1.5527,1.3254,0.8826,1.4376,1.3322,0.8617,1.3508,1.794,1.5801,0.8888,0.8648,0.9315,0.9782,1.7464,0.9115,1.4134,1.8197,1.4257,0.4925,0.7846,0.668,0.9811,0.6861,1.1572,1.2516,0.2686,1.5419,0.9198,0.1564,0.6531,0.8646,0.3931,1.035,1.2546,0.9231,1.7537,1.5304,0.8075,1.0921,1.4201,1.0843,1.0021,1.2545,1.1159,1.332,0.5839,0.807,1.1128,1.5922,0.773,0.6948,0.6797,0.9686,1.7912,1.3568,1.7988
164,1.1626,1.6303,4.0506,1.823,1.9266,1.8549,1.7375,1.3201,1.3119,2.4717,1.7409,1.3456,1.4101,2.7262,2.5307,1.1487,1.433,0.5984,1.2289,1.2863,0.8226,1.9199,0.7619,1.5582,1.3878,0.8652,1.4647,1.4023,0.9109,1.2232,1.7909,1.5502,0.8916,0.8361,0.9053,0.9924,1.6852,0.9183,1.3877,2.0306,1.429,0.5381,0.7839,0.5657,0.9584,0.641,1.2174,1.2335,0.3109,1.5031,0.908,0.1506,0.5343,0.8781,0.3569,1.0582,1.2582,0.9447,1.8126,1.5227,0.8479,1.0843,1.444,1.1579,1.1397,1.2743,1.0957,1.31,0.5858,0.8142,1.0953,1.5515,0.7924,0.7103,0.7523,0.9799,1.8654,1.3746,1.7515
166,1.1564,1.6017,3.9283,1.7724,1.8818,1.8656,1.6893,1.3512,1.3435,2.3373,1.7504,1.3373,1.3788,2.445,2.4894,1.1607,1.5175,0.5873,1.236,1.276,0.8433,1.8759,0.7601,1.5537,1.3505,0.8545,1.4748,1.3538,0.8988,1.12,1.7126,1.5782,0.881,0.828,0.8885,0.98,1.6721,0.8826,1.371,1.8924,1.4421,0.4992,0.752,0.5194,0.9827,0.7221,1.2215,1.3166,0.3784,1.5389,0.9411,0.1628,0.4768,0.8761,0.3662,1.0564,1.2415,0.9536,1.8297,1.5601,0.8786,1.0971,1.4524,1.2018,1.0819,1.2882,1.0884,1.2327,0.5843,0.8097,1.0289,1.5265,0.8382,0.6494,0.7649,0.8995,1.5823,1.2229,1.8667
168,1.1605,1.6441,4.0947,1.8713,1.881,1.9663,1.6512,1.3095,1.3674,2.3621,1.7736,1.3891,1.2679,2.2847,2.5585,1.2054,1.6981,0.5836,1.2753,1.2296,0.8617,1.7986,0.7952,1.5862,1.3294,0.8607,1.5194,1.448,0.92,1.0455,1.6085,1.5972,0.8726,0.8263,0.8804,1.0259,1.7108,0.8617,1.3812,2.0662,1.4159,0.5239,0.7517,0.4833,0.9903,0.6454,1.1499,1.2598,0.4493,1.568,0.9602,0.1517,0.4405,0.9196,0.3459,1.0369,1.2554,0.9577,1.7801,1.5262,0.8906,1.0873,1.4664,1.2009,0.9166,1.3186,1.0909,1.1975,0.598,0.7956,1.0463,1.5725,0.8259,0.6712,0.7404,0.8981,1.6275,1.3015,1.712
170,1.1516,1.6055,3.9225,1.8878,1.8141,1.8504,1.6556,1.2615,1.2885,2.4933,1.7527,1.4474,1.2474,2.2862,2.3833,1.1839,1.8088,0.5793,1.2605,1.2184,0.8835,1.7808,0.7737,1.604,1.2796,0.8856,1.5113,1.5106,0.9447,0.9434,1.6691,1.5213,0.8625,0.8529,0.825,0.9874,1.7128,0.8588,1.3955,2.0167,1.4273,0.5111,0.7099,0.4511,0.9883,0.6141,1.2486,1.2842,0.7691,1.5349,0.9375,0.1512,0.421,0.9071,0.3578,1.1234,1.2289,0.9344,1.7814,1.611,0.8469,1.0734,1.3847,1.2122,0.7603,1.2858,1.0899,1.1877,0.5826,0.7584,1.0328,1.5682,0.8114,0.6831,0.6941,0.9525,1.4988,1.5138,1.7868
172,1.1528,1.6379,3.7724,2.0206,1.8209,1.9354,1.6046,1.2829,1.2922,2.4957,1.7536,1.4603,1.2427,2.3157,2.4938,1.2422,1.9011,0.5845,1.3464,1.2318,0.879,1.7473,0.8185,1.5973,1.245,0.8359,1.6162,1.5209,0.9735,0.8569,1.5702,1.4948,0.8604,0.7747,0.8528,1.0274,1.7529,0.8518,1.4419,2.2282,1.2809,0.4985,0.6998,0.4437,0.9884,0.6145,1.1468,1.2558,0.9929,1.5595,0.9231,0.1531,0.3878,0.9449,0.3513,1.0571,1.2416,0.9157,1.7149,1.6328,0.8607,1.0661,1.4076,1.1826,0.6388,1.3319,1.0859,1.2003,0.5788,0.7436,1.0024,1.6034,0.845,0.6714,0.7189,0.9014,1.3832,1.555,1.652
174,1.1535,1.7204,3.6955,1.9789,1.7904,2.0766,1.5304,1.3283,1.32,2.3802,1.7861,1.434,1.2658,2.2414,2.7469,1.2595,1.8933,0.5826,1.3503,1.2323,0.8953,1.8056,0.8307,1.6489,1.234,0.8724,1.6777,1.5451,0.945,0.8034,1.6109,1.4837,0.8714,0.758,0.8354,1.0193,1.7587,0.8909,1.4873,2.1541,1.2009,0.5068,0.683,0.4347,1.0255,0.5817,1.1353,1.2626,1.1599,1.5419,0.9366,0.1547,0.3695,0.8891,0.4151,1.0721,1.2862,0.87,1.7179,1.5726,0.8757,1.0842,1.3673,1.1957,0.5173,1.2683,1.0554,1.1882,0.5858,0.7596,1.0221,1.6341,0.8236,0.6566,0.7269,0.8247,1.4022,1.7686,1.8689
176,1.1556,1.7371,3.771,1.9762,1.8839,2.0365,1.5003,1.2783,1.3657,2.489,1.7613,1.4554,1.2883,2.2098,2.5144,1.257,1.9362,0.6043,1.3743,1.2421,0.9474,1.7682,0.8084,1.6379,1.1533,0.8654,1.6783,1.5419,0.9174,0.7764,1.4983,1.436,0.8547,0.8419,0.8476,1.0303,1.7183,1.0022,1.5002,2.1967,1.1434,0.464,0.6835,0.4109,1.0194,0.6756,1.0746,1.2993,0.9922,1.5507,0.9895,0.1767,0.3832,0.9363,0.4586,1.0482,1.3353,0.8985,1.6962,1.5848,0.8323,1.0875,1.3217,1.1768,0.4466,1.2884,1.0552,1.1671,0.6117,0.7549,0.9825,1.6561,0.8627,0.664,0.7428,0.7979,1.3377,1.6869,1.9287
178,1.1415,1.6276,3.7959,2.0241,1.7913,1.961,1.4075,1.3438,1.3702,2.4447,1.8281,1.4829,1.249,1.9164,2.3738,1.2606,1.8762,0.6381,1.4117,1.27,0.9311,1.7624,0.861,1.6349,1.1131,0.895,1.6831,1.5149,0.8603,0.7394,1.4362,1.345,0.8119,0.8426,0.8444,1.0148,1.752,0.991,1.4919,2.4526,1.1011,0.4722,0.6864,0.4117,1.0066,0.6192,1.0738,1.2081,0.7651,1.5619,0.9309,0.1666,0.3773,0.9206,0.5242,1.0206,1.2979,0.9168,1.6623,1.5214,0.8919,1.044,1.3415,1.1517,0.3562,1.242,1.036,1.1774,0.6134,0.7652,0.9767,1.613,0.8493,0.6897,0.6736,0.7788,1.3506,1.6329,1.6551
180,1.1433,1.667,3.8727,1.9367,1.8102,2.0387,1.3994,1.3546,1.348,2.5261,1.8598,1.397,1.305,2.0794,2.5071,1.3253,1.7697,0.6399,1.4184,1.3326,0.9644,1.7394,0.8805,1.5689,1.1221,0.8916,1.6568,1.5035,0.9302,0.7034,1.456,1.3478,0.7941,0.7936,0.9009,0.9719,1.7266,1.0399,1.4768,2.3172,1.013,0.4445,0.6838,0.422,0.9615,0.686,1.0525,1.1714,0.5873,1.5524,0.9295,0.1743,0.3661,0.8992,0.7035,1.0184,1.2852,0.8964,1.6556,1.5162,0.9024,1.054,1.3433,1.141,0.3455,1.2198,1.0411,1.157,0.6097,0.7645,0.9907,1.6652,0.8656,0.6682,0.7136,0.825,1.3643,1.8609,1.6358
